Realm Name	Export Time	PMktPrice Date	Reserved	Item ID	Item Name	AH MarketPrice Coppers	AH Quantity	AH MarketPrice	AH MinimumPrice	14-day Median Market Price	Median Market Price StdDev	14-day Todays PMktPrice	PMktPrice StdDev	Daily Price Change	Avg Daily Posted	Avg Estimated Daily Sold	Estimated Demand
EU - Draenor / Alliance	03/14/2017 17:09:36	03/14/2017	N/A	25	Worn Shortsword	0	0	0	0	50000	0	50000	0	0	0.43	0	0
EU - Draenor / Alliance	03/14/2017 17:09:36	03/14/2017	N/A	35	Bent Staff	19999997	3	1999.9997	1999.9997	2998	1621.71	1260.6	1326.17	-0.0815	8	0	0
EU - Draenor / Alliance	03/14/2017 17:09:36	03/14/2017	N/A	36	Worn Mace	105626693	1	10562.6693	10562.6693	10562.67	0	10562.67	0	0	1.29	0	0
EU - Draenor / Alliance	03/14/2017 17:09:36	03/14/2017	N/A	37	Worn Axe	0	0	0	0	19999	1885.52	19073.51	1455.59	-0.0101	0.79	0	0
EU - Draenor / Alliance	03/14/2017 17:09:36	03/14/2017	N/A	38	Recruit's Shirt	2621822	2	262.1822	262.1822	200	72.42	197.49	75.25	0.001	8.93	0.5	0.056
EU - Draenor / Alliance	03/14/2017 17:09:36	03/14/2017	N/A	39	Recruit's Pants	8779996	1	877.9996	877.9996	879	27.87	896	22.09	0.0041	7.29	0	0
EU - Draenor / Alliance	03/14/2017 17:09:36	03/14/2017	N/A	40	Recruit's Boots	0	0	0	0	2035.13	591.53	2576.54	517.81	0.045	3.43	0	0
EU - Draenor / Alliance	03/14/2017 17:09:36	03/14/2017	N/A	43	Squire's Boots	8639999	1	863.9999	863.9999	874	13.32	863.6	5.92	-0.0026	4	0	0
EU - Draenor / Alliance	03/14/2017 17:09:36	03/14/2017	N/A	44	Squire's Pants	7649987	2	764.9987	764.9987	767	1.44	764.3	0.33	-0.0004	6.64	0	0
EU - Draenor / Alliance	03/14/2017 17:09:36	03/14/2017	N/A	45	Squire's Shirt	1900000	2	190	190	267.45	27.54	219.11	14.08	-0.021	5.79	0.07	0.0121
